engine,method,percent,run_id,bench_n,success_rate,avg_moves,avg_nodes,avg_time
learned,mlp,90,run_015,50,1.0,21.9,595.72,0.012413401998928748
learned,random_forest,10,run_001,50,1.0,23.34,1973.86,0.040649890000931915
learned,random_forest,10,run_002,50,1.0,22.22,2509.36,0.05603398999839555
learned,random_forest,10,run_003,50,1.0,22.06,2468.3,0.05702443799993489
learned,random_forest,10,run_004,50,1.0,22.18,2515.3,0.05256110400019679
learned,random_forest,10,run_005,50,1.0,22.34,1739.58,0.03694621599977836
learned,random_forest,10,run_006,50,1.0,22.18,1967.18,0.042631960000726395
learned,random_forest,10,run_007,50,1.0,22.3,2286.56,0.04993464199884329
learned,random_forest,10,run_008,50,1.0,22.22,2659.76,0.06085051999951247
learned,random_forest,10,run_009,50,1.0,21.98,1886.1,0.04351690199866425
learned,random_forest,10,run_010,50,1.0,22.02,3457.34,0.07362741600023583
learned,random_forest,10,run_011,50,1.0,22.06,3185.58,0.06960149399877992
learned,random_forest,10,run_012,50,1.0,22.1,1603.3,0.03736575599876232
learned,random_forest,10,run_013,50,1.0,22.02,6855.16,0.1225937220006017
learned,random_forest,10,run_014,50,1.0,22.34,3364.82,0.038372182000312026
learned,random_forest,10,run_015,50,1.0,21.94,2527.16,0.028582335998653435
learned,random_forest,20,run_001,50,1.0,22.14,5218.5,0.05757117199886125
learned,random_forest,20,run_002,50,1.0,21.98,16626.24,0.275656762002036
learned,random_forest,20,run_003,50,1.0,22.06,1623.18,0.03794837599969469
learned,random_forest,20,run_004,50,1.0,21.94,7674.32,0.20030239999701735
learned,random_forest,20,run_005,50,1.0,22.22,7160.68,0.15144570600125007
learned,random_forest,20,run_006,50,1.0,22.06,3199.92,0.03852685399877373
learned,random_forest,20,run_007,50,1.0,21.94,3117.34,0.03661778599722311
learned,random_forest,20,run_008,50,1.0,22.02,3936.58,0.04750859000021592
learned,random_forest,20,run_009,50,1.0,22.38,2209.56,0.026163155998801813
learned,random_forest,20,run_010,50,1.0,22.5,1614.12,0.019172191998222843
learned,random_forest,20,run_011,50,1.0,22.3,11571.54,0.13362041600223165
learned,random_forest,20,run_012,50,1.0,22.02,5585.68,0.06766962199821137
learned,random_forest,20,run_013,50,1.0,22.02,4594.62,0.05521014199883211
learned,random_forest,20,run_014,50,1.0,22.14,2306.14,0.027029689997434617
learned,random_forest,20,run_015,50,1.0,22.42,1646.16,0.019411387997097337
learned,random_forest,30,run_001,50,1.0,22.1,2765.84,0.03329939999850467
learned,random_forest,30,run_002,50,1.0,22.14,8091.22,0.09610133999958634
learned,random_forest,30,run_003,50,1.0,22.1,1964.98,0.024316539997817018
learned,random_forest,30,run_004,50,1.0,22.14,4918.76,0.05734228200162761
learned,random_forest,30,run_005,50,1.0,21.98,2263.04,0.026464970001252367
learned,random_forest,30,run_006,50,1.0,22.1,3037.3,0.036184142001438886
learned,random_forest,30,run_007,50,1.0,22.1,2816.92,0.03218243399751373
learned,random_forest,30,run_008,50,1.0,22.42,3002.76,0.03468749000167008
learned,random_forest,30,run_009,50,1.0,22.38,6121.14,0.0729140660003759
learned,random_forest,30,run_010,50,1.0,22.1,8552.98,0.11085488399781752
learned,random_forest,30,run_011,50,1.0,22.22,3274.8,0.03860820599831641
learned,random_forest,30,run_012,50,1.0,22.46,2299.52,0.027396359998965635
learned,random_forest,30,run_013,50,1.0,22.18,1935.4,0.023208666000864468
learned,random_forest,30,run_014,50,1.0,22.14,6294.56,0.0743494600005215
learned,random_forest,30,run_015,50,1.0,22.18,5094.18,0.06377094600116834
learned,random_forest,40,run_001,50,1.0,22.3,3327.38,0.041311386003508234
learned,random_forest,40,run_002,50,1.0,22.1,3713.22,0.044427422001608645
learned,random_forest,40,run_003,50,1.0,22.26,7778.52,0.09110826199816074
learned,random_forest,40,run_004,50,1.0,22.06,5850.56,0.06921116200042889
learned,random_forest,40,run_005,50,1.0,22.14,2184.12,0.025016999999061228
learned,random_forest,40,run_006,50,1.0,22.34,7117.8,0.08356904800108168
learned,random_forest,40,run_007,50,1.0,22.22,2557.0,0.030240699999267234
learned,random_forest,40,run_008,50,1.0,21.98,5968.34,0.07246516999904998
learned,random_forest,40,run_009,50,1.0,22.22,8385.36,0.100156857999973
learned,random_forest,40,run_010,50,1.0,22.14,3176.5,0.03730442999745719
learned,random_forest,40,run_011,50,1.0,22.1,10479.12,0.12488270800211466
learned,random_forest,40,run_012,50,1.0,22.06,4048.7,0.047836420002859086
learned,random_forest,40,run_013,50,1.0,22.1,7438.8,0.08775784799654503
learned,random_forest,40,run_014,50,1.0,22.06,6633.02,0.07939976199937519
learned,random_forest,40,run_015,50,1.0,22.1,6870.88,0.09256609199743253
learned,random_forest,50,run_001,50,1.0,22.14,1716.38,0.02231326400011312
learned,random_forest,50,run_002,50,1.0,22.34,3234.78,0.06761683799908497
learned,random_forest,50,run_003,50,1.0,22.22,3517.06,0.09950348399986979
learned,random_forest,50,run_004,50,1.0,22.1,2070.24,0.05797708400059491
learned,random_forest,50,run_005,50,1.0,22.22,4755.98,0.13086807400221004
learned,random_forest,50,run_006,50,1.0,22.14,3915.26,0.11577299199881963
learned,random_forest,50,run_007,50,1.0,22.26,2748.8,0.06058963000308722
learned,random_forest,50,run_008,50,1.0,22.22,5233.2,0.10920216199709103
learned,random_forest,50,run_009,50,1.0,22.1,6116.34,0.12287314800254535
learned,random_forest,50,run_010,50,1.0,22.18,3130.22,0.06838941199937836
learned,random_forest,50,run_011,50,1.0,22.18,3192.24,0.07123644000152125
learned,random_forest,50,run_012,50,1.0,22.02,4772.46,0.10039836800016928
learned,random_forest,50,run_013,50,1.0,22.26,4596.18,0.10440608799923211
learned,random_forest,50,run_014,50,1.0,22.38,2642.84,0.055699775998364204
learned,random_forest,50,run_015,50,1.0,22.1,3315.04,0.07263983199722134
learned,random_forest,60,run_001,50,1.0,22.26,1717.22,0.03814471199759282
learned,random_forest,60,run_002,50,1.0,22.26,2960.04,0.0646720600000117
learned,random_forest,60,run_003,50,1.0,22.38,5207.4,0.10836759799974971
learned,random_forest,60,run_004,50,1.0,22.18,3233.74,0.07248733799962792
learned,random_forest,60,run_005,50,1.0,22.3,5666.9,0.11903735199826769
learned,random_forest,60,run_006,50,1.0,22.38,2797.3,0.05977294400101527
learned,random_forest,60,run_007,50,1.0,22.06,4089.82,0.092395428000018
learned,random_forest,60,run_008,50,1.0,22.1,2633.32,0.059057472001877616
learned,random_forest,60,run_009,50,1.0,22.14,3062.54,0.06294142800034024
learned,random_forest,60,run_010,50,1.0,22.26,3158.86,0.06429339400026947
learned,random_forest,60,run_011,50,1.0,22.5,2066.92,0.04418803199892864
learned,random_forest,60,run_012,50,1.0,22.42,1950.02,0.047933380002505147
learned,random_forest,60,run_013,50,1.0,22.02,4078.28,0.10076795000000857
learned,random_forest,60,run_014,50,1.0,22.42,2340.68,0.047223573999363
learned,random_forest,60,run_015,50,1.0,22.38,4437.64,0.0959244239993859
learned,random_forest,70,run_001,50,1.0,22.06,3524.26,0.07977702400065027
learned,random_forest,70,run_002,50,1.0,21.98,2795.72,0.05730200999649242
learned,random_forest,70,run_003,50,1.0,22.14,3119.62,0.07175974400015547
learned,random_forest,70,run_004,50,1.0,22.22,2991.74,0.0689031520014396
learned,random_forest,70,run_005,50,1.0,22.1,5800.78,0.1290447180013871
